Path,Created,Author,LastModified,LastAuthor,Type,Category,Relevance,PartOf,Status,Lines
./articletouse/daily_check.md,2026-01-08,PAMF2,2026-01-08,PAMF2,documentation,agents,recent,Agents,active,     280
./svelte-onboarding/SVELTE_ONBOARDING_DOCUMENTATION.md,2026-01-14,Javaris0629,2026-01-14,Javaris0629,documentation,frontend,recent,Onboarding,active,     934
./SYSTEM_RUNNING.md,2026-01-18,Roberto H luna,2026-01-18,Roberto H luna,architecture,general,recent,General,active,     340
./.claude/van-router.md,2026-01-11,PAMF2,2026-01-11,PAMF2,documentation,agents,recent,Claude Code,active,     356
./.claude/workflows/pact-framework.md,2026-01-11,PAMF2,2026-01-11,PAMF2,documentation,agents,recent,Claude Code,active,     662
./.claude/agents/devops/angel-devops.md,2026-01-11,PAMF2,2026-01-11,PAMF2,documentation,agents,recent,Claude Code,active,     274
./.claude/agents/ai-integration/oracle-ai.md,2026-01-11,PAMF2,2026-01-11,PAMF2,implementation,integrations,recent,Integrations,active,     200
./.claude/agents/frontend-specialist.md,2026-01-11,PAMF2,2026-01-11,PAMF2,documentation,frontend,recent,Claude Code,active,      32
./.claude/agents/migration-specialist.md,2026-01-11,PAMF2,2026-01-11,PAMF2,documentation,database,recent,Claude Code,active,      30
./.claude/agents/performance/dragon-golang.md,2026-01-11,PAMF2,2026-01-11,PAMF2,documentation,backend,recent,Claude Code,active,     163
./.claude/agents/performance/blitz-hyperperformance.md,2026-01-11,PAMF2,2026-01-11,PAMF2,documentation,agents,recent,Claude Code,active,     117
./.claude/agents/performance/cache-database.md,2026-01-11,PAMF2,2026-01-11,PAMF2,documentation,database,recent,Claude Code,active,     196
./.claude/agents/backend-specialist.md,2026-01-11,PAMF2,2026-01-11,PAMF2,documentation,backend,recent,Claude Code,active,      33
./.claude/COMMANDS_CHEATSHEET.md,2026-01-11,PAMF2,2026-01-11,PAMF2,reference,agents,recent,Claude Code,active,     319
./.claude/README.md,2026-01-11,PAMF2,2026-01-11,PAMF2,readme,agents,recent,Claude Code,active,      67
./.claude/swarms/swarm-coordinator.md,2026-01-11,PAMF2,2026-01-11,PAMF2,documentation,agents,recent,Claude Code,active,     641
./.claude/skills/testing-expert/SKILL.md,2026-01-11,PAMF2,2026-01-11,PAMF2,test-report,agents,recent,Skills,active,      43
./.claude/skills/database-migration-expert/SKILL.md,2026-01-11,PAMF2,2026-01-11,PAMF2,skill,database,recent,Skills,active,      31
./.claude/skills/svelte-frontend-expert/SKILL.md,2026-01-11,PAMF2,2026-01-11,PAMF2,skill,frontend,recent,Skills,active,      37
./.claude/skills/go-backend-expert/SKILL.md,2026-01-11,PAMF2,2026-01-11,PAMF2,skill,backend,recent,Skills,active,      44
./desktop/backend-go/docker/workspace/README.md,2025-12-22,OSOSerious,2025-12-22,OSOSerious,readme,frontend,active,Workspace,active,      76
./desktop/backend-go/DUPLICATE_CODE_ANALYSIS.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,analysis,frontend,recent,Frontend,active,    1132
./desktop/backend-go/internal/middleware/RATE_LIMITING.md,2025-12-23,OSOSerious,2026-01-12,Roberto H luna,documentation,frontend,recent,Frontend,active,     363
./desktop/backend-go/internal/integrations/osa/RESILIENCE.md,2026-01-09,OSOSerious,2026-01-09,OSOSerious,implementation,frontend,recent,Integrations,active,     564
./desktop/backend-go/internal/container/RACE_CONDITION_ANALYSIS.md,2025-12-23,OSOSerious,2026-01-12,Roberto H luna,analysis,frontend,recent,Frontend,active,     399
./desktop/backend-go/internal/livekit/CONTEXT_HIERARCHY_PLAN.md,2026-01-17,Roberto H luna,2026-01-17,Roberto H luna,planning,frontend,recent,Voice System,active,     216
./desktop/backend-go/internal/sync/outbox/README.md,2026-01-09,OSOSerious,2026-01-09,OSOSerious,readme,frontend,recent,Sync Engine,active,     450
./desktop/backend-go/internal/sync/IMPLEMENTATION_COMPLETE.md,2026-01-09,OSOSerious,2026-01-09,OSOSerious,test-report,frontend,recent,Sync Engine,complete,     265
./desktop/backend-go/internal/sync/NATS_CLIENT_README.md,2026-01-09,OSOSerious,2026-01-09,OSOSerious,readme,frontend,recent,Sync Engine,active,     598
./desktop/backend-go/internal/sync/OUTBOX_PROCESSOR_GUIDE.md,2026-01-09,OSOSerious,2026-01-09,OSOSerious,guide,frontend,recent,Sync Engine,active,     151
./desktop/backend-go/internal/sync/README.md,2026-01-09,OSOSerious,2026-01-09,OSOSerious,readme,frontend,recent,Sync Engine,active,     284
./desktop/backend-go/internal/sync/messaging/IMPLEMENTATION_SUMMARY.md,2026-01-09,OSOSerious,2026-01-09,OSOSerious,implementation,frontend,recent,Sync Engine,complete,     382
./desktop/backend-go/internal/sync/messaging/README.md,2026-01-09,OSOSerious,2026-01-09,OSOSerious,readme,frontend,recent,Sync Engine,active,     479
./desktop/backend-go/internal/sync/CONFLICT_DETECTOR_README.md,2026-01-09,OSOSerious,2026-01-09,OSOSerious,readme,frontend,recent,Sync Engine,active,     350
./desktop/backend-go/internal/logging/SANITIZED_LOGGING_GUIDE.md,2025-12-23,OSOSerious,2026-01-12,Roberto H luna,guide,frontend,recent,Frontend,active,     253
./desktop/backend-go/internal/logging/IMPLEMENTATION_SUMMARY.md,2025-12-23,OSOSerious,2026-01-12,Roberto H luna,implementation,frontend,recent,Frontend,complete,     382
./desktop/backend-go/internal/services/METADATA_EXTRACTOR.md,2026-01-11,OSOSerious,2026-01-11,OSOSerious,documentation,frontend,recent,Frontend,active,     265
./desktop/backend-go/docs/project-management-enhancement.md,2026-01-12,Roberto H luna,2026-01-12,Roberto H luna,documentation,frontend,recent,Frontend,active,     364
./desktop/backend-go/docs/QUICK_START_VALIDATION.md,2026-01-18,Roberto H luna,2026-01-18,Roberto H luna,documentation,frontend,recent,Frontend,active,     272
./desktop/backend-go/docs/database/DATABASE_LOCATION_INFO.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,documentation,frontend,recent,Database,active,     316
./desktop/backend-go/docs/database/supabase_auth_implementation.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Database,active,     290
./desktop/backend-go/docs/database/database_troubleshooting.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,documentation,frontend,recent,Database,active,     264
./desktop/backend-go/docs/database/supabase/SUPABASE_SETUP.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,documentation,frontend,recent,Database,active,     215
./desktop/backend-go/docs/database/DATABASE_SETUP.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,documentation,frontend,recent,Database,active,     420
./desktop/backend-go/docs/database/SUPABASE_MIGRATION.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,documentation,frontend,recent,Database,active,     313
./desktop/backend-go/docs/ENVIRONMENT_SETUP.md,2026-01-18,Roberto H luna,2026-01-18,Roberto H luna,documentation,frontend,recent,Frontend,active,     350
./desktop/backend-go/docs/CUSTOM_AGENTS_VALIDATION.md,2026-01-11,PAMF2,2026-01-11,PAMF2,documentation,frontend,recent,Custom Agents,active,     477
./desktop/backend-go/docs/TODO_CLEANUP.md,2026-01-08,Javaris0629,2026-01-08,Javaris0629,task-list,frontend,recent,Frontend,active,      84
./desktop/backend-go/docs/BusinessOS Go Backend - Deployment Guide 2d25ac02f07780418f75faa723a66696.md,2026-01-12,Roberto H luna,2026-01-12,Roberto H luna,guide,frontend,recent,Frontend,active,    1150
./desktop/backend-go/docs/OSA_SSE_QUICK_START.md,2026-01-11,OSOSerious,2026-01-11,OSOSerious,documentation,frontend,recent,Frontend,active,     291
./desktop/backend-go/docs/TECHNICAL_REFERENCE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,reference,frontend,recent,Frontend,active,    1427
./desktop/backend-go/docs/VOICE_ENVIRONMENT_CONFIG.md,2026-01-18,Roberto H luna,2026-01-18,Roberto H luna,documentation,frontend,recent,Voice System,active,     231
./desktop/backend-go/docs/BusinessOS API Reference 2d25ac02f077807daaf5cf502984cf6c.md,2026-01-12,Roberto H luna,2026-01-12,Roberto H luna,api-reference,frontend,recent,Frontend,active,     386
./desktop/backend-go/docs/VAD_INTEGRATION.md,2026-01-18,Roberto H luna,2026-01-18,Roberto H luna,implementation,frontend,recent,Voice System,active,     257
./desktop/backend-go/docs/README_TEST_TRACK_3.md,2026-01-18,Roberto H luna,2026-01-18,Roberto H luna,test-report,frontend,recent,Frontend,active,     293
./desktop/backend-go/docs/features/BACKGROUND_JOBS_INTEGRATION_GUIDE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Integrations,active,     386
./desktop/backend-go/docs/features/THINKING_SYSTEM_INTEGRATION.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Integrations,active,     445
./desktop/backend-go/docs/features/workspace/workspace_frontend_integration_complete.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,test-report,frontend,recent,Workspace,complete,     455
./desktop/backend-go/docs/features/workspace/workspace_implementation_verification.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,test-report,frontend,recent,Workspace,active,     596
./desktop/backend-go/docs/features/workspace/workspace_implementation_status_complete.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,test-report,frontend,recent,Workspace,complete,     495
./desktop/backend-go/docs/features/workspace/workspace_memory_ui_guide.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Workspace,active,     628
./desktop/backend-go/docs/features/workspace/workspace_invite_audit_implementation.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Workspace,active,     692
./desktop/backend-go/docs/features/workspace/workspace_schema_analysis.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Workspace,active,     542
./desktop/backend-go/docs/features/agents/CUSTOM_AGENTS_METAS.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Custom Agents,active,     370
./desktop/backend-go/docs/features/agents/CUSTOM_JOB_HANDLERS_GUIDE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Background Jobs,active,     578
./desktop/backend-go/docs/features/agents/CUSTOM_AGENTS_PRODUCTION_CHECKLIST.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Custom Agents,active,     725
./desktop/backend-go/docs/features/agents/AGENT_SYSTEM.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Custom Agents,active,    1316
./desktop/backend-go/docs/features/agents/CUSTOM_AGENTS_REVIEW_AND_IMPROVEMENTS.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Custom Agents,active,     597
./desktop/backend-go/docs/features/voice/VOICE_SYSTEM.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Voice System,active,    1525
./desktop/backend-go/docs/features/voice/VOICE_SYSTEM_STATUS.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Voice System,active,     305
./desktop/backend-go/docs/features/voice/MICROPHONE_PERMISSIONS.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Voice System,active,      72
./desktop/backend-go/docs/features/voice/VOICE_TESTING_GUIDE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,test-report,frontend,recent,Voice System,active,     177
./desktop/backend-go/docs/features/BACKGROUND_JOBS_README.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Background Jobs,active,     353
./desktop/backend-go/docs/features/BACKGROUND_JOBS_QUICKSTART.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Background Jobs,active,     299
./desktop/backend-go/docs/team-review/RECENT_BACKEND_CHANGES.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,analysis,frontend,recent,Documentation,active,     567
./desktop/backend-go/docs/team-review/README.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,analysis,frontend,recent,Documentation,active,     375
./desktop/backend-go/docs/REDIS_QUICKSTART.md,2025-12-23,OSOSerious,2026-01-12,Roberto H luna,guide,frontend,recent,Frontend,active,     165
./desktop/backend-go/docs/SECURITY_UPDATES.md,2025-12-23,OSOSerious,2026-01-12,Roberto H luna,security,frontend,recent,Security,active,     280
./desktop/backend-go/docs/REDIS_KEY_SECURITY.md,2025-12-23,OSOSerious,2026-01-12,Roberto H luna,security,frontend,recent,Security,active,     327
./desktop/backend-go/docs/AGENT_DASHBOARD_TOOL_NOTES.md,2026-01-14,Javaris0629,2026-01-14,Javaris0629,documentation,frontend,recent,Dashboard,active,     302
./desktop/backend-go/docs/Developer Quick Start Guide 2d25ac02f07780d8bbdfe55de9a2f839.md,2026-01-12,Roberto H luna,2026-01-12,Roberto H luna,guide,frontend,recent,Frontend,active,     232
./desktop/backend-go/docs/DOCUMENTATION_MOVE_SUMMARY.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,report,frontend,recent,Frontend,complete,     365
./desktop/backend-go/docs/OSA_INTEGRATION_INDEX.md,2026-01-11,OSOSerious,2026-01-11,OSOSerious,implementation,frontend,recent,Integrations,active,     589
./desktop/backend-go/docs/OSA_SETUP_GUIDE.md,2026-01-11,OSOSerious,2026-01-13,Roberto H luna,guide,frontend,recent,Frontend,active,    1088
./desktop/backend-go/docs/README.md,2026-01-08,Roberto H luna,2026-01-19,Roberto H luna,readme,frontend,recent,Frontend,active,     421
./desktop/backend-go/docs/integrations/GOOGLE_APIS_QUICK_REFERENCE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,api-reference,frontend,recent,Integrations,active,     272
./desktop/backend-go/docs/integrations/integration_day3_verification.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,test-report,frontend,recent,Integrations,active,     440
./desktop/backend-go/docs/integrations/INTEGRATIONS_MASTER_LIST.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Integrations,active,     744
./desktop/backend-go/docs/integrations/integration_auth_day_verification.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,test-report,frontend,recent,Integrations,active,     873
./desktop/backend-go/docs/integrations/INTEGRATION_INFRASTRUCTURE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Integrations,active,    1106
./desktop/backend-go/docs/integrations/INTEGRATION_PHASES.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Integrations,active,     510
./desktop/backend-go/docs/integrations/OSA_INTEGRATION_GUIDE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Integrations,active,     493
./desktop/backend-go/docs/integrations/INTEGRATION_SETUP_CHECKLIST.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Integrations,active,     412
./desktop/backend-go/docs/integrations/google-oauth/OAUTH_TESTING_GUIDE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,test-report,frontend,recent,Integrations,active,     249
./desktop/backend-go/docs/integrations/google-oauth/test-google-oauth-flow.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,test-report,frontend,recent,Integrations,active,     156
./desktop/backend-go/docs/integrations/TEAM_INTEGRATION_SETUP_GUIDE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Integrations,active,     751
./desktop/backend-go/docs/integrations/integration_day2_verification.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,test-report,frontend,recent,Integrations,active,     619
./desktop/backend-go/docs/integrations/INTEGRATION_SETUP.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Integrations,active,     398
./desktop/backend-go/docs/integrations/INTEGRATIONS_PHASED_PLAN.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Integrations,active,     847
./desktop/backend-go/docs/integrations/LIVE_SYNC_ARCHITECTURE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Integrations,active,     655
./desktop/backend-go/docs/integrations/livekit/LIVEKIT_ROOM_MONITOR_SUMMARY.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Voice System,complete,     296
./desktop/backend-go/docs/integrations/INTEGRATION_DATA_MAPPING.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Integrations,active,     449
./desktop/backend-go/docs/integrations/integration_day1_verification.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,test-report,frontend,recent,Integrations,active,     170
./desktop/backend-go/docs/integrations/WALKTHROUGH_INTEGRATION.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Integrations,active,     341
./desktop/backend-go/docs/LIVEKIT_ROOM_MONITOR_IMPLEMENTATION.md,2026-01-18,Roberto H luna,2026-01-18,Roberto H luna,implementation,frontend,recent,Voice System,active,     318
./desktop/backend-go/docs/CHANGELOG_2024-12-24.md,2025-12-24,Roberto H luna,2026-01-12,Roberto H luna,changelog,frontend,recent,Frontend,active,      98
./desktop/backend-go/docs/architecture/BUSINESSOS_AGENT_ARCHITECTURE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Frontend,active,      70
./desktop/backend-go/docs/architecture/INTEGRATION_MODULE_MAPPING.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Integrations,active,     159
./desktop/backend-go/docs/architecture/CONTAINER_MANAGER.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Frontend,active,     193
./desktop/backend-go/docs/architecture/CONTAINER_EXEC.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Frontend,active,     265
./desktop/backend-go/docs/architecture/BUSINESSOS_ARCHITECTURE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Frontend,active,    1365
./desktop/backend-go/docs/REDIS_SECURITY.md,2025-12-23,OSOSerious,2026-01-12,Roberto H luna,security,frontend,recent,Security,active,     319
./desktop/backend-go/docs/OSA_API_TESTS.md,2026-01-11,OSOSerious,2026-01-11,OSOSerious,test-report,frontend,recent,Frontend,active,    1057
./desktop/backend-go/docs/Session Invalidation Security Implementation - COM 2d25ac02f07780d1ab84c23bc040af66.md,2026-01-12,Roberto H luna,2026-01-12,Roberto H luna,implementation,frontend,recent,Security,active,     434
./desktop/backend-go/docs/OSA_API_QUICK_REFERENCE.md,2026-01-11,OSOSerious,2026-01-11,OSOSerious,api-reference,frontend,recent,Frontend,active,     113
./desktop/backend-go/docs/api/API_README.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,api-guide,frontend,recent,API,active,     653
./desktop/backend-go/docs/api/API_CHEATSHEET.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,api-guide,frontend,recent,API,active,     438
./desktop/backend-go/docs/api/API_REFERENCE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,api-reference,frontend,recent,API,active,     385
./desktop/backend-go/docs/api/API_VISUAL_GUIDE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,api-guide,frontend,recent,API,active,     477
./desktop/backend-go/docs/api/OSA_BUILD_API_REFERENCE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,api-reference,frontend,recent,OSA Build,active,    1242
./desktop/backend-go/docs/api/api_rag_endpoints.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,api-guide,frontend,recent,API,active,     441
./desktop/backend-go/docs/api/MOBILE_API_GUIDE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,api-guide,frontend,recent,API,active,     652
./desktop/backend-go/docs/api/MOBILE_API.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,api-guide,frontend,recent,API,active,    1421
./desktop/backend-go/docs/api/API_OSA_ONBOARDING.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,api-guide,frontend,recent,Onboarding,active,    1287
./desktop/backend-go/docs/api/API_ENDPOINTS_REFERENCE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,api-reference,frontend,recent,API,active,    1340
./desktop/backend-go/docs/api/API_DOCUMENTATION_INDEX.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,api-guide,frontend,recent,API,active,     423
./desktop/backend-go/docs/OSA_SSE_STREAMING.md,2026-01-11,OSOSerious,2026-01-11,OSOSerious,documentation,frontend,recent,Frontend,active,     461
./desktop/backend-go/docs/BusinessOS Backend - Terminal System Documentation 2d25ac02f07780319531c26bd49c6242.md,2026-01-12,Roberto H luna,2026-01-12,Roberto H luna,architecture,frontend,recent,Frontend,active,    1980
./desktop/backend-go/docs/ENVIRONMENT_VALIDATION_GUIDE.md,2026-01-18,Roberto H luna,2026-01-18,Roberto H luna,guide,frontend,recent,Frontend,active,     427
